Cluster Number,Longitude,Latitude,Density
0,116.7520995,28.96277429,2532
1,106.3302308,29.54839846,65
2,113.3554292,23.67399536,431
3,116.5642624,38.69226817,465
4,111.3364722,26.901825,72
5,109.5055,30.2737,18
6,116.8538628,38.06887941,102
7,108.5007368,30.44312632,19
8,106.9874238,31.1970781,210
9,117.82325,32.4687869,84
10,121.4836893,34.83406117,103
11,114.41612,37.899044,50
12,119.7810455,32.97634545,22
13,111.8074231,31.05934615,26
14,107.8552558,28.99528488,86
15,117.2973143,37.11169143,70
16,119.3898182,29.49732727,11
17,115.4588171,32.29783619,105
18,114.8006643,32.33950408,98
19,117.5300333,34.29734912,57
20,114.1569091,31.6818,
21,123.2703636,41.78309091,11
22,111.781,40.48055833,24
23,103.4155905,36.70660476,21
24,115.1153529,28.78112941,17
25,124.4330556,42.14043889,18
26,106.5550909,31.50914545,22
27,115.23052,29.786636,25
28,117.9426,34.10229,10
29,107.152225,32.26995,8
30,113.0341905,33.3248,
31,106.3212,34.537308,25
32,113.7715714,34.85082857,14
33,110.8393,33.97833,10
34,104.748125,36.5997,4
35,118.7637273,34.05440909,11
36,114.5117,33.78078,10
37,114.7424546,36.24894545,11
38,106.9685455,33.33403636,11
39,116.679875,32.4085875,8
40,116.8069167,34.870325,12
41,114.314,33.5795,1
