Truck ID,Cluster Number,Count Occurence
 00F6P1B4GU,0,2
 00F6P1B4GU,1,1
 0102BI4UFE,2,4
 01081FB4GU,3,1
 011G808FUB,4,1
 01BFI2XLGU,0,2
 01BFI2XLGU,2,1
 01I5GBU1FE,0,4
 01I5GBU1FE,33,1
 02U1G2P1FE,0,3
 02U1G2P1FE,2,1
 034LB7FSUI,0,1
 034LB7FSUI,10,1
 034LB7FSUI,2,1
 034LB7FSUI,31,1
 03PXGFL8BI,0,10
 040I7USPFE,2,1
 040I7USPFE,35,1
 04PF51B4GU,0,2
 04PF51B4GU,5,2
 053IG6SPFE,0,1
 053IG6SPFE,2,1
 053IG6SPFE,30,1
 053IG6SPFE,6,1
 0615PUG3FI,0,3
 0615PUG3FI,6,1
 06P41FB4GU,0,3
 06P41FB4GU,3,4
 07611PSFBI,0,2
 07611PSFBI,2,3
 07611PSFBI,7,1
 07BF4GLXSU,0,1
 07BF4GLXSU,8,3
 07FLX7B7SI,9,2
 07FUX7B7SI,10,1
 08SFB1ULXI,2,1
 0F1PS1B4GU,11,3
 0F1X51B4GU,0,2
 0F1X51B4GU,2,1
 0F2S12XLGU,15,1
 0F2S12XLGU,9,6
 0F36PSXB1I,0,8
 0FS14IXLGU,0,4
 0GB001U2FE,0,3
 0GFLX7B7SI,0,10
 0I4F4GLXSU,0,5
 0I4F4GLXSU,5,1
 0I4F4GLXSU,7,2
 0IF151B4GU,0,3
 0IF151B4GU,12,2
 0ILXFSP4GU,0,10
 0ILXFSP4GU,2,1
 0ILXFSP4GU,24,1
 0ILXFSP4GU,6,1
 0IP51FB4GU,0,3
 0IP51FB4GU,2,4
 0LF16BP4GU,0,4
 0SFI66P4GU,0,1
 0SFI66P4GU,3,1
 0SP41FB4GU,0,2
 0SX51FB4GU,34,1
 0SX51FB4GU,40,1
 0U3IG6SPFE,0,2
 0U3IG6SPFE,13,4
 0U3IG6SPFE,2,1
 0UPF133LBI,0,1
 0UPF133LBI,2,1
 0X50513GFI,0,1
 0X50513GFI,14,3
 0X717USPFE,14,1
 0X717USPFE,2,5
 0XI51FB4GU,15,6
 0XI51FB4GU,8,5
 106SG2P1FE,0,3
 106SG2P1FE,2,1
 106SG2P1FE,6,1
 10FPS1B4GU,0,9
 10I01FB4GU,0,2
 10I01FB4GU,39,2
 10L01FB4GU,0,4
 10L01FB4GU,15,1
 10L01FB4GU,16,3
 10S41FB4GU,0,6
 1102BI4UFE,0,2
 1102BI4UFE,35,2
 1102BI4UFE,6,2
 113I66P4GU,0,4
 113I66P4GU,17,1
 113I66P4GU,8,3
 11474U6PSI,0,1
 1156P1B4GU,3,2
 119GXUB7SI,15,1
 119GXUB7SI,17,4
 11FX6BP4GU,0,3
 11FX6BP4GU,18,4
 11FX6BP4GU,29,1
 11IX1SP4GU,0,6
 11SX4BP4GU,0,2
 11SX4BP4GU,6,5
 1259I2XLGU,0,4
 1259I2XLGU,18,1
 1259I2XLGU,2,2
 1259I2XLGU,3,1
 12BU32GLPI,0,7
 12BU32GLPI,19,1
 137GXUB7SI,17,1
 137GXUB7SI,24,1
 137GXUB7SI,8,1
 1424LXP4GU,0,2
 1424LXP4GU,18,1
 1424LXP4GU,5,4
 1425GU12LB,1,5
 1425GU12LB,3,3
 142U333LBI,0,3
 144S12XLGU,2,1
 147PS1B4GU,0,2
 147PS1B4GU,20,1
 149XB6P4GU,6,4
 14B5LSP4GU,0,6
 14F151B4GU,0,1
 14F151B4GU,12,1
 14IPS1B4GU,0,1
 14P21BLSUI,0,1
