0IP51FB4GU,113.2,23.2388,14-3-28 13:4:42,14-3-28 14:3:54,59,1
0IP51FB4GU,113.2,23.2388,14-3-28 14:7:54,14-3-28 16:26:38,138,1
0IP51FB4GU,113.673,22.9157,14-3-28 18:27:36,14-3-28 19:44:14,76,2
0IP51FB4GU,113.83,22.7081,14-3-28 20:58:19,14-3-28 21:28:16,29,on trip break
0IP51FB4GU,113.83,22.7082,14-3-28 21:28:32,14-3-28 22:50:32,82,2
0IP51FB4GU,113.673,22.9157,14-3-29 0:56:48,14-3-29 1:17:47,20,on trip break
0IP51FB4GU,113.673,22.9156,14-3-29 1:20:1,14-3-29 1:30:19,10,on trip break
0IP51FB4GU,113.673,22.9154,14-3-29 1:35:17,14-3-29 2:22:52,47,2
0IP51FB4GU,113.673,22.9154,14-3-29 2:23:52,14-3-29 3:43:26,79,2
0IP51FB4GU,113.2,23.2402,14-3-29 5:23:43,14-3-29 10:2:1,278,1
0IP51FB4GU,113.2,23.2403,14-3-29 10:10:46,14-3-29 10:27:33,16,on trip break
0IP51FB4GU,113.2,23.2402,14-3-29 10:27:48,14-3-29 11:17:5,49,1
0IP51FB4GU,112.971,25.4448,14-3-29 18:29:34,14-3-29 18:42:16,12,on trip break
0IP51FB4GU,113.507,29.4754,14-3-30 1:43:51,14-3-30 1:56:32,12,on trip break
0IP51FB4GU,114.053,33.7372,14-3-30 9:28:3,14-3-30 9:41:23,13,on trip break
0IP51FB4GU,114.094,34.0887,14-3-30 11:6:52,14-3-30 11:19:29,12,on trip break
0IP51FB4GU,114.585,37.9924,14-3-30 19:18:37,14-3-30 21:52:41,154,2
0IP51FB4GU,114.585,37.9923,14-3-30 21:52:56,14-3-30 23:50:46,117,2
0IP51FB4GU,114.585,37.9931,14-3-31 6:59:34,14-3-31 8:37:46,98,1
0IP51FB4GU,114.585,37.9932,14-3-31 8:45:16,14-3-31 9:16:0,30,on trip break
0IP51FB4GU,114.585,37.9933,14-3-31 9:20:45,14-3-31 9:45:59,25,on trip break
0IP51FB4GU,114.585,37.9933,14-3-31 9:49:31,14-3-31 14:42:11,292,1
0IP51FB4GU,114.585,37.9934,14-3-31 14:42:26,14-3-31 14:54:2,11,on trip break
0IP51FB4GU,114.585,37.9934,14-3-31 14:58:48,14-3-31 17:22:22,143,1
