15LBS6P4GU,114.17,30.6035,14-3-28 1:55:3,14-3-28 2:16:3,21,on trip break
15LBS6P4GU,114.17,30.6035,14-3-28 2:33:10,14-3-28 2:52:12,19,on trip break
15LBS6P4GU,107.655,30.289,14-3-28 15:21:43,14-3-28 15:35:54,14,on trip break
15LBS6P4GU,103.993,30.5162,14-3-28 23:13:16,14-3-28 23:25:16,12,on trip break
15LBS6P4GU,103.993,30.5161,14-3-28 23:39:16,14-3-28 23:54:29,15,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 1:17:16,14-3-29 1:33:30,16,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 1:36:30,14-3-29 1:54:30,18,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 1:57:16,14-3-29 2:12:30,15,on trip break
15LBS6P4GU,103.993,30.5161,14-3-29 4:15:16,14-3-29 4:27:31,12,on trip break
15LBS6P4GU,103.993,30.5161,14-3-29 4:33:16,14-3-29 4:45:31,12,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 5:39:16,14-3-29 5:51:31,12,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 5:54:31,14-3-29 6:5:16,10,on trip break
15LBS6P4GU,103.993,30.5161,14-3-29 7:15:17,14-3-29 7:33:17,18,on trip break
15LBS6P4GU,103.993,30.5161,14-3-29 7:42:32,14-3-29 7:55:17,12,on trip break
15LBS6P4GU,103.993,30.5161,14-3-29 8:7:17,14-3-29 8:25:17,18,on trip break
15LBS6P4GU,103.993,30.5161,14-3-29 8:37:17,14-3-29 8:48:32,11,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 9:39:17,14-3-29 9:55:17,16,on trip break
15LBS6P4GU,103.993,30.5161,14-3-29 9:57:17,14-3-29 10:15:32,18,on trip break
15LBS6P4GU,103.993,30.5161,14-3-29 10:41:17,14-3-29 11:1:17,20,on trip break
15LBS6P4GU,103.993,30.5163,14-3-29 11:36:33,14-3-29 12:3:43,27,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 12:50:13,14-3-29 13:4:17,14,on trip break
15LBS6P4GU,103.993,30.5163,14-3-29 13:45:18,14-3-29 13:55:18,10,on trip break
15LBS6P4GU,103.993,30.5163,14-3-29 14:27:18,14-3-29 15:7:18,40,1
15LBS6P4GU,103.993,30.5162,14-3-29 15:9:18,14-3-29 15:27:18,18,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 16:39:18,14-3-29 16:51:58,12,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 17:39:58,14-3-29 17:53:18,13,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 17:57:18,14-3-29 18:9:59,12,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 18:45:18,14-3-29 18:55:18,10,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 20:13:19,14-3-29 20:31:53,18,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 21:40:0,14-3-29 21:55:59,15,on trip break
15LBS6P4GU,103.993,30.5162,14-3-29 22:23:59,14-3-29 23:7:59,44,2
15LBS6P4GU,105.511,30.5272,14-3-30 4:37:18,14-3-30 4:49:37,12,on trip break
15LBS6P4GU,110.674,30.6285,14-3-30 16:35:30,14-3-30 16:46:25,10,on trip break
15LBS6P4GU,114.169,30.6039,14-3-30 22:31:53,14-3-30 22:59:36,27,on trip break
15LBS6P4GU,114.17,30.6039,14-3-30 23:21:56,14-3-30 23:57:56,36,2
15LBS6P4GU,114.17,30.6039,14-3-31 0:5:37,14-3-31 0:20:37,15,on trip break
15LBS6P4GU,114.17,30.6039,14-3-31 0:53:56,14-3-31 1:5:56,12,on trip break
15LBS6P4GU,114.17,30.604,14-3-31 1:21:56,14-3-31 1:31:56,10,on trip break
15LBS6P4GU,114.17,30.604,14-3-31 1:55:56,14-3-31 2:15:56,20,on trip break
15LBS6P4GU,114.17,30.6039,14-3-31 2:17:37,14-3-31 2:39:56,22,on trip break
15LBS6P4GU,114.17,30.6039,14-3-31 2:49:56,14-3-31 3:8:38,18,on trip break
