1624LXP4GU,113.711,22.8164,14-3-28 0:1:21,14-3-28 5:50:8,348,2
1624LXP4GU,114.666,26.1247,14-3-28 12:54:38,14-3-28 13:8:41,14,on trip break
1624LXP4GU,116.105,30.1722,14-3-28 20:38:30,14-3-28 21:14:40,36,2
1624LXP4GU,119.032,36.7408,14-3-29 12:22:0,14-3-29 14:12:36,110,1
1624LXP4GU,119.026,36.751,14-3-29 14:26:28,14-3-29 14:54:36,28,on trip break
1624LXP4GU,119.032,36.7409,14-3-29 14:59:50,14-3-29 21:54:24,414,1
1624LXP4GU,118.268,35.0299,14-3-30 7:42:18,14-3-30 8:43:36,61,1
1624LXP4GU,116.931,30.9105,14-3-30 17:44:56,14-3-30 17:56:54,11,on trip break
1624LXP4GU,116.105,30.1724,14-3-30 19:42:11,14-3-30 20:25:2,42,2
1624LXP4GU,113.712,22.8157,14-3-31 11:22:18,14-3-31 13:50:45,148,1
1624LXP4GU,113.731,22.8087,14-3-31 14:17:55,14-3-31 14:37:18,19,on trip break
1624LXP4GU,113.731,22.8084,14-3-31 14:38:21,14-3-31 15:56:56,78,1
1624LXP4GU,113.704,22.8145,14-3-31 16:11:1,14-3-31 17:48:14,97,1
