51P4SIXLGU,113.726,22.8158,14-3-28 0:1:57,14-3-28 5:2:29,300,2
51P4SIXLGU,109.899,27.5811,14-3-28 19:17:58,14-3-28 19:27:59,10,on trip break
51P4SIXLGU,108.748,28.901,14-3-28 23:26:59,14-3-28 23:40:59,14,on trip break
51P4SIXLGU,107.509,29.3752,14-3-29 2:59:7,14-3-29 3:17:25,18,on trip break
51P4SIXLGU,103.964,30.5497,14-3-29 12:2:34,14-3-29 12:46:47,44,1
51P4SIXLGU,103.965,30.5498,14-3-29 13:46:33,14-3-29 14:16:33,30,on trip break
51P4SIXLGU,105.514,30.5248,14-3-30 4:21:32,14-3-30 4:49:32,28,on trip break
51P4SIXLGU,107.535,29.3746,14-3-30 9:21:55,14-3-30 9:43:55,22,on trip break
51P4SIXLGU,107.858,29.3123,14-3-30 9:53:35,14-3-30 10:13:39,20,on trip break
51P4SIXLGU,108.07,29.3953,14-3-30 10:14:32,14-3-30 10:26:32,12,on trip break
51P4SIXLGU,108.07,29.3954,14-3-30 10:28:32,14-3-30 10:56:32,28,on trip break
51P4SIXLGU,108.746,28.9008,14-3-30 13:20:39,14-3-30 13:33:17,12,on trip break
51P4SIXLGU,111.699,26.3715,14-3-30 21:56:14,14-3-30 22:6:14,10,on trip break
51P4SIXLGU,113.693,22.9535,14-3-31 6:52:30,14-3-31 7:28:30,36,1
51P4SIXLGU,113.693,22.9535,14-3-31 7:32:30,14-3-31 7:50:24,17,on trip break
51P4SIXLGU,113.725,22.816,14-3-31 8:31:54,14-3-31 9:12:4,40,1
51P4SIXLGU,113.725,22.8164,14-3-31 9:13:51,14-3-31 10:39:51,86,1
51P4SIXLGU,113.725,22.8159,14-3-31 10:47:51,14-3-31 11:3:51,16,on trip break
51P4SIXLGU,113.725,22.8164,14-3-31 11:7:51,14-3-31 12:37:50,89,1
51P4SIXLGU,113.725,22.8164,14-3-31 12:55:53,14-3-31 13:11:54,16,on trip break
51P4SIXLGU,113.723,22.8172,14-3-31 14:25:24,14-3-31 14:37:24,12,on trip break
51P4SIXLGU,113.693,22.8332,14-3-31 14:58:58,14-3-31 15:11:12,12,on trip break
51P4SIXLGU,113.693,22.8332,14-3-31 15:22:58,14-3-31 15:41:19,18,on trip break
51P4SIXLGU,113.726,22.8159,14-3-31 16:2:47,14-3-31 23:58:51,476,2
