8SXPGU12LB,114.685,38.0104,14-3-28 0:18:5,14-3-28 0:28:9,10,on trip break
8SXPGU12LB,118.245,35.1684,14-3-28 11:23:58,14-3-28 11:35:15,11,on trip break
8SXPGU12LB,120.376,30.3494,14-3-28 21:53:21,14-3-28 22:4:10,10,on trip break
8SXPGU12LB,120.408,30.3871,14-3-28 22:45:27,14-3-28 22:56:38,11,on trip break
8SXPGU12LB,120.408,30.387,14-3-28 23:12:38,14-3-28 23:26:38,14,on trip break
8SXPGU12LB,120.408,30.3871,14-3-28 23:32:38,14-3-28 23:42:38,10,on trip break
8SXPGU12LB,120.408,30.387,14-3-29 0:6:38,14-3-29 0:28:38,22,on trip break
8SXPGU12LB,120.408,30.3871,14-3-29 0:48:38,14-3-29 0:58:38,10,on trip break
8SXPGU12LB,120.408,30.387,14-3-29 1:16:38,14-3-29 1:30:38,14,on trip break
8SXPGU12LB,120.408,30.3869,14-3-29 1:42:38,14-3-29 2:12:38,30,on trip break
8SXPGU12LB,120.408,30.387,14-3-29 2:32:38,14-3-29 2:42:38,10,on trip break
8SXPGU12LB,120.408,30.387,14-3-29 2:50:38,14-3-29 3:18:38,28,on trip break
8SXPGU12LB,120.408,30.3869,14-3-29 3:34:38,14-3-29 3:46:38,12,on trip break
8SXPGU12LB,120.408,30.387,14-3-29 3:52:38,14-3-29 4:6:38,14,on trip break
8SXPGU12LB,120.408,30.387,14-3-29 4:22:38,14-3-29 4:36:38,14,on trip break
8SXPGU12LB,120.408,30.3869,14-3-29 5:20:38,14-3-29 5:34:38,14,on trip break
8SXPGU12LB,120.408,30.3871,14-3-29 5:56:38,14-3-29 6:16:38,20,on trip break
8SXPGU12LB,120.408,30.387,14-3-29 6:30:38,14-3-29 6:40:38,10,on trip break
8SXPGU12LB,120.408,30.3869,14-3-29 6:54:38,14-3-29 7:6:38,12,on trip break
8SXPGU12LB,120.408,30.387,14-3-29 7:12:38,14-3-29 7:22:38,10,on trip break
8SXPGU12LB,120.408,30.387,14-3-29 7:26:38,14-3-29 7:38:38,12,on trip break
8SXPGU12LB,120.408,30.387,14-3-29 8:20:38,14-3-29 8:38:38,18,on trip break
8SXPGU12LB,120.408,30.387,14-3-29 8:50:38,14-3-29 9:14:38,24,on trip break
8SXPGU12LB,120.408,30.3871,14-3-29 9:52:38,14-3-29 10:6:38,14,on trip break
8SXPGU12LB,119.947,30.9887,14-3-30 6:22:46,14-3-30 6:32:47,10,on trip break
8SXPGU12LB,114.685,38.0104,14-3-30 23:33:16,14-3-30 23:47:38,14,on trip break
8SXPGU12LB,114.685,38.0104,14-3-31 0:9:38,14-3-31 0:19:38,10,on trip break
8SXPGU12LB,114.685,38.0104,14-3-31 0:23:38,14-3-31 0:40:50,17,on trip break
8SXPGU12LB,114.685,38.01,14-3-31 0:41:50,14-3-31 0:56:39,14,on trip break
8SXPGU12LB,114.686,38.0114,14-3-31 2:45:29,14-3-31 2:55:29,10,on trip break
8SXPGU12LB,118.245,35.1685,14-3-31 11:5:13,14-3-31 11:29:10,23,on trip break
8SXPGU12LB,118.245,35.1685,14-3-31 11:43:10,14-3-31 11:55:37,12,on trip break
8SXPGU12LB,120.408,30.3869,14-3-31 22:30:45,14-3-31 22:56:45,26,on trip break
8SXPGU12LB,120.408,30.3869,14-3-31 23:0:45,14-3-31 23:10:45,10,on trip break
8SXPGU12LB,120.408,30.3869,14-3-31 23:14:45,14-3-31 23:30:45,16,on trip break
