99FSLXP4GU,104.235,30.8477,14-3-28 0:1:20,14-3-28 8:55:18,533,2
99FSLXP4GU,109.151,30.2404,14-3-28 18:46:50,14-3-28 18:57:23,10,on trip break
99FSLXP4GU,109.847,30.4961,14-3-28 20:42:24,14-3-28 20:52:32,10,on trip break
99FSLXP4GU,110.125,30.6437,14-3-28 21:32:55,14-3-28 21:48:11,15,on trip break
99FSLXP4GU,118.012,31.6355,14-3-29 10:35:43,14-3-29 10:48:9,12,on trip break
99FSLXP4GU,119.799,31.6648,14-3-29 13:10:51,14-3-29 13:37:9,26,on trip break
99FSLXP4GU,121.208,31.2255,14-3-29 16:46:29,14-3-29 17:48:32,62,1
99FSLXP4GU,119.8,31.6679,14-3-30 5:50:0,14-3-30 6:1:59,11,on trip break
99FSLXP4GU,118.681,31.6511,14-3-30 7:43:23,14-3-30 9:1:22,77,1
99FSLXP4GU,118.67,31.6447,14-3-30 9:14:4,14-3-30 9:34:4,20,on trip break
99FSLXP4GU,116.008,31.7578,14-3-30 17:33:23,14-3-30 18:8:34,35,1
99FSLXP4GU,113.524,30.8603,14-3-30 22:29:21,14-3-30 22:42:8,12,on trip break
99FSLXP4GU,112.956,30.9549,14-3-30 23:34:25,14-3-30 23:49:45,15,on trip break
99FSLXP4GU,110.978,30.5926,14-3-31 3:10:51,14-3-31 3:22:45,11,on trip break
99FSLXP4GU,110.759,30.6164,14-3-31 3:40:39,14-3-31 3:52:26,11,on trip break
99FSLXP4GU,110.269,30.6128,14-3-31 4:40:13,14-3-31 4:54:3,13,on trip break
99FSLXP4GU,109.213,30.1979,14-3-31 6:44:0,14-3-31 6:54:8,10,on trip break
99FSLXP4GU,108.552,30.1488,14-3-31 7:57:22,14-3-31 8:14:37,17,on trip break
99FSLXP4GU,108.392,30.0205,14-3-31 8:34:33,14-3-31 8:45:2,10,on trip break
99FSLXP4GU,106.615,29.6613,14-3-31 12:28:41,14-3-31 23:56:49,688,1
