GI8P81B2FE,108.642,24.4781,14-3-28 6:16:7,14-3-28 6:28:6,11,on trip break
GI8P81B2FE,111.181,24.3955,14-3-28 12:12:10,14-3-28 12:29:10,17,on trip break
GI8P81B2FE,113.332,23.3235,14-3-28 18:16:12,14-3-28 18:28:12,12,on trip break
GI8P81B2FE,113.332,23.3234,14-3-28 18:44:12,14-3-28 18:58:12,14,on trip break
GI8P81B2FE,113.332,23.3233,14-3-28 19:10:12,14-3-28 19:20:12,10,on trip break
GI8P81B2FE,113.332,23.3233,14-3-28 19:24:12,14-3-28 19:40:12,16,on trip break
GI8P81B2FE,113.345,23.321,14-3-28 21:22:19,14-3-28 21:39:11,16,on trip break
GI8P81B2FE,113.345,23.321,14-3-28 21:49:11,14-3-28 22:15:11,26,on trip break
GI8P81B2FE,113.345,23.3209,14-3-28 22:27:11,14-3-28 22:43:11,16,on trip break
GI8P81B2FE,113.345,23.321,14-3-28 23:7:11,14-3-28 23:47:11,40,2
GI8P81B2FE,113.345,23.3209,14-3-28 23:49:11,14-3-28 23:59:11,10,on trip break
GI8P81B2FE,113.345,23.321,14-3-29 0:7:11,14-3-29 0:23:11,16,on trip break
GI8P81B2FE,113.345,23.321,14-3-29 0:27:11,14-3-29 0:41:11,14,on trip break
GI8P81B2FE,113.345,23.3209,14-3-29 0:43:11,14-3-29 0:55:11,12,on trip break
GI8P81B2FE,113.347,23.3217,14-3-29 2:23:11,14-3-29 2:33:11,10,on trip break
GI8P81B2FE,117.314,31.7955,14-3-30 1:2:57,14-3-30 1:12:57,10,on trip break
GI8P81B2FE,117.314,31.7955,14-3-30 4:2:57,14-3-30 4:14:57,12,on trip break
GI8P81B2FE,117.314,31.7956,14-3-30 4:32:57,14-3-30 4:46:57,14,on trip break
GI8P81B2FE,117.314,31.7956,14-3-30 5:2:57,14-3-30 5:12:57,10,on trip break
GI8P81B2FE,113.345,23.3207,14-3-31 4:44:17,14-3-31 4:54:17,10,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 6:30:17,14-3-31 6:55:16,24,on trip break
GI8P81B2FE,113.345,23.3207,14-3-31 7:7:16,14-3-31 7:18:41,11,on trip break
GI8P81B2FE,113.345,23.3207,14-3-31 7:40:10,14-3-31 7:56:10,16,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 8:22:29,14-3-31 8:38:29,16,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 10:10:50,14-3-31 10:34:39,23,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 11:12:41,14-3-31 11:36:41,24,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 11:54:41,14-3-31 12:28:52,34,1
GI8P81B2FE,113.345,23.3208,14-3-31 12:54:57,14-3-31 13:14:18,19,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 13:52:51,14-3-31 14:4:51,12,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 14:42:51,14-3-31 14:56:51,14,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 15:34:58,14-3-31 15:57:26,22,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 16:27:26,14-3-31 16:47:26,20,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 17:13:36,14-3-31 17:23:36,10,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 17:35:36,14-3-31 17:45:36,10,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 18:41:36,14-3-31 18:51:36,10,on trip break
GI8P81B2FE,113.345,23.3207,14-3-31 19:49:36,14-3-31 20:3:36,14,on trip break
GI8P81B2FE,113.345,23.3207,14-3-31 20:17:36,14-3-31 20:39:59,22,on trip break
GI8P81B2FE,113.345,23.3207,14-3-31 20:55:59,14-3-31 21:7:2,11,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 21:53:11,14-3-31 22:15:54,22,on trip break
GI8P81B2FE,113.345,23.3208,14-3-31 22:51:54,14-3-31 23:1:54,10,on trip break
