I656P1B4GU,113.82,34.6957,14-3-28 0:0:4,14-3-28 10:14:5,614,2
I656P1B4GU,113.201,29.5602,14-3-28 20:40:20,14-3-28 20:53:42,13,on trip break
I656P1B4GU,113.254,29.304,14-3-28 21:33:44,14-3-28 22:13:55,40,2
I656P1B4GU,113.073,28.2201,14-3-29 0:23:59,14-3-29 0:38:56,14,on trip break
I656P1B4GU,113.073,28.2202,14-3-29 0:45:46,14-3-29 1:36:42,50,2
I656P1B4GU,113.072,28.2197,14-3-29 1:46:59,14-3-29 3:24:26,97,2
I656P1B4GU,113.167,27.9615,14-3-29 4:14:25,14-3-29 4:33:37,19,on trip break
I656P1B4GU,119.838,29.2233,14-3-29 15:10:20,14-3-29 15:34:56,24,on trip break
I656P1B4GU,119.846,29.2285,14-3-29 15:46:23,14-3-29 18:6:12,139,1
I656P1B4GU,119.847,29.229,14-3-29 18:12:13,14-3-29 18:31:12,18,on trip break
I656P1B4GU,119.846,29.2291,14-3-29 18:32:28,14-3-29 18:59:19,26,on trip break
I656P1B4GU,119.847,29.2285,14-3-29 19:2:19,14-3-29 20:14:35,72,2
I656P1B4GU,120.38,30.3378,14-3-29 22:40:23,14-3-29 23:26:44,46,2
I656P1B4GU,119.92,31.1582,14-3-30 7:6:40,14-3-30 8:19:54,73,1
I656P1B4GU,117.954,32.7932,14-3-30 13:33:32,14-3-30 14:11:21,37,1
I656P1B4GU,113.823,34.7231,14-3-30 22:8:43,14-3-30 22:40:29,31,2
I656P1B4GU,113.82,34.6958,14-3-31 0:18:8,14-3-31 7:30:8,432,2
I656P1B4GU,113.82,34.6956,14-3-31 7:32:53,14-3-31 10:29:10,176,1
I656P1B4GU,113.822,34.7234,14-3-31 10:35:51,14-3-31 10:57:9,21,on trip break
I656P1B4GU,113.448,33.4609,14-3-31 13:18:38,14-3-31 13:36:49,18,on trip break
I656P1B4GU,113.232,31.2232,14-3-31 17:29:49,14-3-31 17:41:10,11,on trip break
I656P1B4GU,113.258,29.297,14-3-31 21:12:49,14-3-31 21:45:9,32,2
I656P1B4GU,113.073,28.2201,14-3-31 23:43:54,14-3-31 23:59:56,16,on trip break
