U3PG32XLBI,114.213,22.6282,14-3-28 9:36:6,14-3-28 9:56:7,20,on trip break
U3PG32XLBI,114.213,22.6281,14-3-28 11:14:12,14-3-28 14:35:12,201,1
U3PG32XLBI,114.05,22.6182,14-3-29 13:27:59,14-3-29 15:14:39,106,1
U3PG32XLBI,114.049,22.6184,14-3-29 15:16:39,14-3-29 15:28:40,12,on trip break
U3PG32XLBI,114.049,22.6188,14-3-29 15:30:40,14-3-29 15:54:10,23,on trip break
U3PG32XLBI,114.048,22.6178,14-3-29 15:58:26,14-3-29 16:14:26,16,on trip break
U3PG32XLBI,114.048,22.6178,14-3-29 16:18:26,14-3-29 16:30:27,12,on trip break
U3PG32XLBI,114.048,22.6179,14-3-29 16:31:5,14-3-29 17:9:15,38,1
U3PG32XLBI,113.671,23.1919,14-3-29 18:38:15,14-3-29 18:52:41,14,on trip break
U3PG32XLBI,111.562,26.5664,14-3-30 1:57:35,14-3-30 2:18:27,20,on trip break
U3PG32XLBI,108.785,29.0644,14-3-30 9:42:41,14-3-30 9:54:7,11,on trip break
U3PG32XLBI,108.386,29.4785,14-3-30 10:57:16,14-3-30 11:59:45,62,1
U3PG32XLBI,108.386,29.4786,14-3-30 12:13:57,14-3-30 12:25:42,11,on trip break
U3PG32XLBI,108.386,29.4785,14-3-30 12:29:27,14-3-30 12:43:44,14,on trip break
U3PG32XLBI,108.196,29.3512,14-3-30 13:22:53,14-3-30 14:33:27,70,1
U3PG32XLBI,106.977,29.2266,14-3-30 15:9:58,14-3-30 15:27:13,17,on trip break
U3PG32XLBI,103.96,30.5544,14-3-31 9:14:30,14-3-31 10:25:5,70,1
U3PG32XLBI,103.96,30.5524,14-3-31 10:40:14,14-3-31 10:58:11,17,on trip break
