,18
10-0-3,1
15-28-9,1
14-1-0,4
21-17-10,1
2-0-6-0,1
2-14-2-0-19-0,1
10-0-2,1
2-27-17-0,1
18-0-18-17,1
3-18-11-3,1
2-0-15,1
8-0-1,1
8-4,1
8-0-3,2
2-10-3,1
6-25-10-6,1
15-7-15-14,1
19-17,1
8-9,1
0-32-18-0,1
8-38-0,1
8-3,2
8-0,11
10,4
11,7
0-6-21,1
13,1
14,1
15,1
40-34,1
17,5
3-8,1
18,3
19,8
0-2-24-0,1
22-0,2
15-10,2
1-0-24-8,1
8-6-0,3
8-38-0-37,1
0,229
0-9-0,4
2-3-19-0,1
2,27
0-20-29-9,1
0-30-0-18-0,1
16-2,1
3,25
18-6-34-3-2,1
0-19-2-0,1
0-2-30-0,1
4,9
0-18-0,4
6,7
0-17-10,1
0-18-2,1
18-8-0-18,1
7-2-33-0,1
3-6,1
8,10
9,6
0-17-14,1
33-0,2
3-4,2
3-2,5
31-11,1
0-17-19,1
31-12,2
11-10-3,1
3-0,27
20,6
21,1
4-17,1
22,1
0-3-8,2
25,2
29,1
8-17-8-0,1
0-3-0,5
21-19-12-18,1
0-3-2,1
18-8-1,1
37-3-0,1
18-8-0,1
0-26,2
15-3,1
15-2,1
0-27,2
15-1,1
15-0,3
0-36-0,1
0-24-2,1
0-2-13,1
0-20,1
35-15-17-0-2,1
30,2
0-25,2
6-37-28,1
0-14-18,1
19-13-2,1
3-11-31-3,1
38,1
0-3-17-0,1
0-30-0,1
39,1
15-9,1
15-8,1
0-8-0,1
0-15,1
9-8,1
0-16,1
0-17,2
0-18,5
0-19,3
10-0,5
10-2,1
8-0-14,1
28-2-3,1
9-0,5
0-10,3
0-11,2
0-12,2
19-8-14-0,1
0-13,1
0-14,5
9-2,1
23-40,1
25-30-3,1
0-25-36,1
8-7-0,2
2-0-6-10,1
0-5-0,2
4-0,1
18-0-17-0,1
4-3,2
13-17-0,1
0-19-0,6
2-14-2,1
0-3-19-0,3
0-2-32-30,1
8-11-4,1
17-0-15,1
26-7,1
0-36-3,1
1-27,1
8-2-0,1
18-3-8,1
0-14-0,1
6-24-2,1
4-0-3,1
17-0-3,1
3-18-8,1
25-2,1
26-8-17-0,1
4-0-17-3,1
31-2,1
18-2-0-17,1
0-14-8,1
0-18-29,1
0-3-24-0,2
15-0-15,1
15-6-8,1
19-8,1
2-13-0-31,1
24-14-18,1
3-2-14,1
19-0,2
19-3,1
0-2-0-3,1
5-0-5,1
0-2-0-2,1
2-35,1
3-14-8-16,1
9-0-27-0,1
2-0-9-0,2
2-0-2-10,1
20-0,1
26-5-0,1
18-9-0,1
0-39-14,1
14-2,1
14-0,4
14-5,1
0-19-10-0,1
19-3-2,1
17-32-0,1
5-0,2
9-17-1,1
31-10-2-0,1
0-8,11
0-9,3
0-6,8
0-10-0-3,1
19-10-3,1
0-4,1
2-7-0,1
17-15,2
0-5,2
9-17-0,1
3-36-0-10,1
8-3-0,1
6-8-0,1
11-30-3,1
0-15-0,1
0-2,21
23-0-2,1
0-3,23
0-1,1
2-19,1
2-14,2
2-13,1
0-26-8,1
0-18-2-0,2
2-15,1
0-6-17-1,1
3-17-0,2
0-20-41-0-40-0,1
2-17-0-2,2
0-3-0-2-18-2,1
0-19-12,1
0-32-0,1
0-19-10,1
14-0-17-14-0,1
1-19-0,1
0-6-0,2
23-35-23,1
27-10-8-3,1
0-38-0-14,1
0-8-14,1
0-6-35-0,1
25-0-2,1
0-8-18,1
17-32,1
0-24-17-0,1
0-27-0,2
0-15-0-4-31,1
14-3-0,1
35-8,1
0-33-0,1
0-27-2,1
0-10-2,1
0-27-5-26,1
29-2,1
0-6-24-2,1
14-31-0-14,1
19-18-19-10-18,1
18-0-5-0-5,1
8-26-8-15-0,1
6-0,4
3-0-4,1
0-31-37-18,1
0-18-0-12-11-18,1
7-5-0,1
23-10-6-0,1
9-0-2,1
10-18,1
3-0-2,1
1-3,1
2-0-2-0,1
18-0,7
35-3,1
1-2,1
1-0,4
8-14-0-3,1
8-35-0,1
17-3-0,2
0-2-17-0,1
23-0,1
31-18-34-0-18,1
2-17-0,1
27-2-0,1
15-18-0,1
1-18-0,1
3-36-26-3,1
14-31-0,1
11-0-31,1
15-2-11,1
17-2,1
39-11-39-19-10,1
17-3,1
0-40,1
10-23-10,1
17-0,9
18-24,1
18-23,1
2-0-9,1
2-0-2,3
2-3-28,1
2-0-3,1
0-4-0-9-8,1
0-2-6,1
0-3-2-37-0,1
3-10,2
0-28-2,1
3-14,1
0-2-0,14
0-39,2
12-0,2
3-9-3,1
12-3,1
0-30,2
3-10-2,1
0-31,1
0-32,1
3-10-3,1
7-0,1
0-35,1
3-37-36-0,1
31-2-14-8,1
8-3-18-34-0,1
17-24-8,1
13-0-2,1
14-13-0-24-14,1
2-9,1
2-8,2
3-2-0-10-0,1
24-17-0,1
28-15-26,1
0-7-0,3
0-17-2,2
0-17-3,1
11-0,1
0-17-0,4
2-3,7
2-1,1
0-15-18,1
2-0,18
0-15-16,1
9-24-0-2,1
36-25-0-40,1
0-2-24-3-13,1
2-30-6-0,1
18-3-18,1
1-17-0,1
6-11-3-0,1
3-4-0,1
2-31-15,1
5-8-0,1
5-32-3,1
2-11-0,1
0-40-3,1
25-11-3,1
10-15-8,1
8-14-0,1
8-17,1
27-0-27,1
0-13-0-2,1
0-2-3-0,1
